Type,Portfolio,Symbol,Quantity,Price,Date
buy,SA,AGX,1,128.02,16/10/2024
buy,SA,AGX,11,127.67,16/10/2024
dividend,SA,AGX,0.0237,0,01/11/2024
buy,SA,AGX,1,148,16/12/2024
dividend,SA,AGX,0.0231,0,06/02/2025
buy,SA,AGX,50,147.89,28/04/2025
dividend,SA,AGX,0.0216,0,01/05/2025
buy,SA,AGX,20,206,21/07/2025
buy,SA,AGX,17,206.02,21/07/2025
dividend,SA,AGX,0.1139,0,01/08/2025
buy,RM,AMD,100,125.08,18/12/2024
buy,SA,AMPH,45,48.11,27/08/2024
buy,SA,AMPH,12,42.02,16/12/2024
buy,RM,AMZN,10,172.53,06/09/2024
buy,RM,AMZN,99,222.32,31/12/2024
buy,RM,AMZN,100,223.33,21/02/2025
buy,SA,ANF,30,165.85,27/08/2024
buy,SA,APP,32,89.7,27/08/2024
buy,SA,APP,11,89.64,27/08/2024
buy,SA,APP,1,340.82,09/12/2024
buy,SA,APP,29,340.56,09/12/2024
buy,SA,APP,5,325.02,07/01/2025
buy,SA,APP,10,327.94,26/02/2025
buy,SA,APP,11,263.77,31/03/2025
buy,SA,APP,1,264.12,31/03/2025
buy,RM,ARM,1,170.44,18/06/2024
buy,RM,ARM,17,168.13,20/06/2024
buy,RM,ARM,50,136.84,14/11/2024
buy,RM,ARM,20,149.68,27/01/2025
buy,RM,ARM,12,105.57,31/03/2025
buy,SA,ASC,150,19.08,27/08/2024
dividend,SA,ASC,3.2203,0,16/09/2024
dividend,SA,ASC,2.4581,0,16/12/2024
dividend,SA,ASC,1.2512,0,17/03/2025
dividend,SA,ASC,0.7734,0,16/06/2025
buy,SA,ATGE,20,75.57,27/08/2024
buy,SA,ATGE,6,89.58,16/12/2024
buy,SA,ATGE,1,105.25,28/04/2025
buy,SA,ATGE,49,104.9,28/04/2025
buy,SA,CLS,71,51.22,27/08/2024
buy,SA,CLS,20,85.18,18/11/2024
buy,SA,CLS,5,85.18,18/11/2024
buy,SA,CLS,4,99.91,16/12/2024
buy,SA,CLS,50,103.62,27/01/2025
buy,SA,CLS,50,204.47,13/08/2025
buy,SA,COMM,800,15.48,15/08/2025
buy,SA,CRDO,70,71.13,03/02/2025
buy,SA,CRDO,100,42.39,28/04/2025
buy,SA,CRDO,30,93.81,21/07/2025
buy,SA,DXPE,50,111.16,08/08/2025
buy,SA,EAT,19,70.91,27/08/2024
buy,SA,EAT,11,70.88,27/08/2024
buy,SA,EAT,6,129.76,16/12/2024
buy,SA,EAT,13,153,21/02/2025
buy,SA,EAT,12,153.03,21/02/2025
buy,SA,EAT,33,158.4,23/04/2025
buy,SA,EAT,6,158.46,23/04/2025
buy,SA,EZPW,200,15.72,02/04/2025
buy,RM,FOA,100,30.45,06/01/2025
buy,RM,GE,50,222.18,14/05/2025
buy,RM,GE,50,255.48,01/07/2025
buy,RM,GE,50,261.62,23/07/2025
dividend,RM,GE,0.0922,0,28/07/2025
buy,RM,GOOG,21.0235,191.01,19/12/2024
dividend,RM,GOOG,0.0176,0,18/03/2025
buy,RM,GOOG,80,171.83,25/03/2025
buy,RM,GOOG,20,171.85,25/03/2025
dividend,RM,GOOG,0.1005,0,17/06/2025
buy,RM,GOOG,100,175.84,01/07/2025
buy,SA,GRBK,41,78.63,27/08/2024
buy,RM,HIMS,2,28.85,28/04/2025
buy,RM,HIMS,83,28.92,28/04/2025
buy,RM,HIMS,5,28.88,28/04/2025
buy,RM,HIMS,110,28.9,28/04/2025
buy,RM,HIMS,50,63.26,14/05/2025
buy,RM,HIMS,4,55.13,29/05/2025
buy,RM,HIMS,46,55.04,29/05/2025
buy,RM,HIMS,100,50.67,10/07/2025
buy,SA,ITRN,50,41.6,18/02/2025
dividend,SA,ITRN,0.5519,0,04/04/2025
dividend,SA,ITRN,0.4829,0,03/07/2025
buy,SA,LC,200,17.79,16/12/2024
buy,PRO,LITE,50,122.27,24/08/2025
buy,RM,META,100,739.58,21/08/2025
buy,SA,MFC,157.5525,30.78,01/05/2025
dividend,SA,MFC,2.4052,0,23/06/2025
buy,SA,OKTA,2,97.37,27/08/2024
buy,SA,OKTA,19,97.19,27/08/2024
buy,SA,OKTA,5,84.23,16/12/2024
buy,SA,OKTA,5,84.3,16/12/2024
buy,SA,OKTA,70,113.33,05/02/2025
buy,SA,OKTA,44,93.28,11/07/2025
buy,SA,OKTA,56,93.28,11/07/2025
buy,RM,ONON,100,50.62,10/11/2024
buy,RM,PATH,500,12.06,31/07/2025
buy,SA,PEP,13,175.99,27/08/2024
buy,SA,PEP,0.0723,170.57,01/10/2024
buy,SA,PEP,0.0844,146.91,07/01/2025
buy,SA,PEP,0.0834,149.64,01/04/2025
buy,SA,PEP,0.0994,132.72,01/07/2025
buy,SA,POWL,3,189.58,27/08/2024
buy,SA,POWL,30,189.59,27/08/2024
buy,SA,POWL,6,230.62,02/10/2024
